question,contexts,ground_truth,evolution_type,metadata,episode_done
How did Donovan Mitchell's injury impact the series against the Celtics?,"[""Besides the Celtics' depth, they also benefited from injuries to opposing stars in all three East series. Jimmy Butler missed the Miami Heat's whole matchup against Boston, while All-Star guards Donovan Mitchell and Tyrese Haliburton were both lost to injury midseries.""]","Donovan Mitchell's injury impacted the series against the Celtics as he was lost to injury midseries, which benefited the Celtics.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Parity or dynasty? The Boston Celtics' chances at breaking a modern NBA trend"", 'author': 'Kevin Pelton', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
"What are the player options that Kentavious Caldwell-Pope and Reggie Jackson need to decide on, and by when?","[""Denver doesn't have much time to get over the sting of losing Game 7 at home and getting bounced in the second round of the playoffs. Kentavious Caldwell-Pope, a key contributor to the Nuggets' 2023 championship, has a $15.4 million player option to decide on by June 29. And Reggie Jackson has a $5.3 million player option to decide on by June 25. The Nuggets' championship window remains open as long as MVP Nikola Jokic is healthy and Jamal Murray and Aaron Gordon are extension eligible. Denver will also have to figure out how to improve its bench. After losing Bruce Brown and Jeff Green last offseason, the Nuggets went young, but they relied heavily on their starters and looked like a tired team at the end of the season. -- Ohm Youngmisuk""]","Kentavious Caldwell-Pope has a $15.4 million player option to decide on by June 29, and Reggie Jackson has a $5.3 million player option to decide on by June 25.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}]",True
How did the Titans' offense with Ryan Tannehill influence the potential offensive strategy for Lance if he becomes the starter for the Cowboys?,"[""If Lance ends up taking over as the starter, the Cowboys' offense might end up looking something like what Hurts runs in Philadelphia or what the Titans did with Ryan Tannehill in Tennessee. An offense that gets him on the move, relies on the run and uses his physical talent and arm strength to create windows and hit big plays off play-action would make sense. Dallas would probably bring in a veteran to compete with Lance, but if it signs him to a modest extension for 2025, it would make sense to see what it has.""]","The Titans' offense with Ryan Tannehill influenced the potential offensive strategy for Lance by suggesting an offense that gets him on the move, relies on the run, and uses his physical talent and arm strength to create windows and hit big plays off play-action.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}]",True
What is Josh Allen's pass rush win rate?,"[""The team also signed edge Josh Allen to a five-year deal with $76.5 million fully guaranteed, averaging more than $28 million per year. I'm a little wary given that Allen has just one season with 11 sacks or more (17.5 last season) and his pass rush win rate is just average at 16%. I might have been tempted to let him play on the franchise tag in 2024 and see if he can repeat his performance.""]",Josh Allen's pass rush win rate is 16%.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
What made Curt Flood stand out as a defensive player according to McCarver?,"['McCarver""[Cardinals teammate] Curt Flood was the best I\'ve ever seen against the wall. He was better than Willie against the wall. But Curt played deep. Willie didn\'t play deep; he played shallow. Willie never went to the wall. Willie was the wall.""']","According to McCarver, Curt Flood stood out as a defensive player because he was the best he had ever seen against the wall.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}]",True
What financial impact does the new contract have on the Lions compared to using the franchise tag for Goff?,"[""Had the Lions let Goff play out his 2024 deal (roughly $27 million in cash) and then given him the nonexclusive franchise tag in 2025 and again in 2026 and again in 2027, that would be roughly 1 year/$27 million or 2/$69M or 3/$120M or 4/$193M, based on OverTheCap's 2025 franchise tag projections and assuming a 20% raise each year after that for future tags. With this deal, it's either 1/$119M or 2/$154M or 3/$172M or 4/$194M or 5/$241M. The Lions lost their flexibility and now need Goff to play on this contract through 2027 just to break even -- or through 2028 to get any value -- relative to the tag.""]","The new contract impacts the Lions financially by reducing their flexibility. They now need Goff to play on this contract through 2027 just to break even, or through 2028 to get any value, relative to using the franchise tag.",simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
Why did Willie Mays think Bob Gibson was crazy for not wearing glasses while pitching?,"['Torre ""[First baseman] Bill White was playing for the Cardinals. He and Gibby [Hall of Fame pitcher Bob Gibson] went to San Francisco in the offseason. Bill was invited to Willie\'s house for dinner, and he asked Gibby if he wanted to go. Bob said, \'I\'d love to go, I\'ve never met Willie Mays.\' They ring the doorbell. Willie comes to the door. In the offseason, Gibby always wore glasses, but he didn\'t wear them when he pitched. So Willie opens the door, he says hello to Bill, then he says, \'Who is this?\' Bill said, \'Willie, this is Bob Gibson.\' Willie didn\'t say hello to him, all he said was, \'You wear glasses!? And you don\'t wear them when you pitch? Are you crazy? You\'re going to hurt somebody!\'""']",Willie Mays thought Bob Gibson was crazy for not wearing glasses while pitching because he believed that not wearing glasses could lead to Gibson hurting somebody.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}]",True
How many touchdowns did Kelce score during the Chiefs' playoff run last season?,"[""Key stat to know: Kelce caught 32 of his 37 targets for 355 yards and three touchdowns during the Chiefs' playoff run last season, which ended in another Super Bowl title.""]",Kelce scored three touchdowns during the Chiefs' playoff run last season.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Best NFL, college, high school football players by age 14-40', 'author': 'Matt Bowen and Jordan Reid and Billy Tucker', 'content_publish_date': 'Jun 13, 2024, 06:25 AM ET'}]",True
Why did the Cardinals focus on adding young talent instead of making veteran upgrades during the 2024 offseason?,"['The Cardinals are still waiting to make their move. The 2024 offseason was about adding young talent -- the Cardinals made 12 draft picks, including seven in the first three rounds -- instead of making veteran upgrades to a generally lacking roster.']",The Cardinals focused on adding young talent instead of making veteran upgrades during the 2024 offseason.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
How could extending Rudy Gobert's contract provide him with financial security?,"['Does it make sense exploring a Rudy Gobert extension? The NBA Defensive Player of the Year has two years left, including a player option in the last year. Both sides could agree to eliminate the player option and then extend at a lower salary. This option helps Minnesota financially in 2025 and also gives Gobert financial security.']","Extending Rudy Gobert's contract could provide him with financial security by eliminating the player option and agreeing to an extension at a lower salary, which ensures he has a guaranteed income for a longer period.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
"Why did Dallas sign Prescott to a four-year, $160 million deal despite his serious ankle injury and previous failed negotiations?","[""After failing to come to terms with Prescott on a deal before the 2019 and 2020 seasons and seeing him suffer a serious ankle injury, on one level it makes no sense that Dallas would come to terms with him on an even bigger contract than the deals they had offered in previous years. And yet, that's exactly what happened. The team gave Prescott a second franchise tag for $37.7 million to retain his rights for 2021, then signed him to a four-year, $160 million deal.""]",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}]",True
What does it mean for the Clippers to be a projected second-apron team if George and Harden are brought back?,"['CBA impact: The Clippers are in the second apron until June 30. They are not allowed to send out cash in a trade, take back more money or aggregate salaries. They are a projected second-apron team if George and Harden are brought back.']","Being a projected second-apron team means that if George and Harden are brought back, the Clippers will face certain financial restrictions, such as not being allowed to send out cash in a trade, take back more money, or aggregate salaries.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How did Stevens celebrate the Celtics' victory?,"['""It\'s what it\'s all about,"" Stevens told ESPN as he stood in a quiet hallway, celebrating with his family as the party inside the Celtics locker room raged on.']",Stevens celebrated the Celtics' victory by standing in a quiet hallway with his family while the party raged on inside the Celtics locker room.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time'"", 'author': 'Ramona Shelburne', 'content_publish_date': 'Jun 18, 2024, 12:00 PM ET'}]",True
Why was Prescott not eligible to sign an extension after July in 2020 due to the franchise tag rules?,"[""This doesn't make much sense to me, but it's entirely possible the Cowboys could get a deal done with Prescott during the season or once the season is completed, before the start of the 2025 league year. In 2020, he wasn't eligible to sign an extension after July because of the franchise tag rules, and he eventually inked his new deal in mid-March.""]",Prescott was not eligible to sign an extension after July in 2020 because of the franchise tag rules.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""Dak Prescott's Cowboys future: New contract or test free agency?"", 'author': 'Bill Barnwell', 'content_publish_date': 'Jun 19, 2024, 06:15 AM ET'}]",True
How did Terry McLaurin advise receivers to adjust their play during the game?,"['""After the second or third crosser that he threw, I started telling receivers, \'Hey, you got to get your head around,\'"" receiver Terry McLaurin said. ""A lot of quarterbacks may like to see you cross the ball and get into that open zone. Or if it\'s man [coverage] they like to see you get open for him. He can make those throws and give you a chance to catch and run.""']",Terry McLaurin advised receivers to get their head around after the second or third crosser that the quarterback threw.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'First impressions of Commanders rookie QB Jayden Daniels', 'author': 'John Keim', 'content_publish_date': 'Jun 17, 2024, 06:00 AM ET'}]",True
What is the role of a private scouting and analytics service in the context of Jonathan Givony's work?,"['Jonathan Givony is an NBA draft expert and the founder and co-owner of DraftExpress.com, a private scouting and analytics service used by NBA, NCAA and international teams. ']",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA mock draft: 58 picks as trade talks heat up for 30 teams', 'author': 'Jonathan Givony and Jeremy Woo', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}]",True
Why is it important for every starter and rotation player on the Celtics to be a volume shooter?,"[""On paper, the Celtics do not appear to make much use of the paint. They don't get to the rim or the foul line much. They are an average offensive rebounding team. They lead the league in 3s by a mile. But volume is one ingredient in Boston cracking that code. If you are going to play this way, you have to really do it. Every starter and hopefully everyone in the rotation has to be a volume shooter. If the NBA is a variance game now, put yourself in position to win it.""]","It is important for every starter and rotation player on the Celtics to be a volume shooter because if the NBA is a variance game now, putting yourself in position to win it requires a high volume of 3-point shots. This strategy is essential for the Celtics as they lead the league in 3s by a mile.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Lowe: Here's the code the Boston Celtics finally cracked to raise banner No. 18"", 'author': 'Zach Lowe', 'content_publish_date': 'Jun 17, 2024, 11:45 PM ET'}]",True
What impact did Ramczyk's knee recovery have on New Orleans' draft strategy for 2024?,"[""Because Ramczyk's knee is not recovering as quickly as hoped and his status for 2024 is uncertain, New Orleans essentially needed to select a tackle early in the 2024 draft. It did that, taking Fuaga at No. 14 overall.""]","Ramczyk's knee recovery, which is not progressing as quickly as hoped and has made his status for 2024 uncertain, led New Orleans to select a tackle early in the 2024 draft. They chose Fuaga at No. 14 overall.",simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
What is the approach of the Wizards' front office in rebuilding the roster?,"[""The Wizards' front office has roots in Oklahoma City and figures to be on a similarly patient curve in rebuilding the roster, without pressure to win for at least a couple of seasons. Washington should simply take the best prospect on the board at No. 2 -- whether that's Alex Sarr, Zaccharie Risacher, Donovan Clingan or someone else -- or look to move back and pick up future assets if that opportunity is there. The Wizards' other selections should give them chances to be creative in adding long-term prospects to develop for the future. -- Woo""]","The Wizards' front office is taking a patient approach in rebuilding the roster, without pressure to win for at least a couple of seasons. They plan to take the best prospect available at No. 2 or consider moving back to pick up future assets. Additionally, they aim to be creative in adding long-term prospects to develop for the future.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
Which teams remained the betting favorites after the first round of matches at the 2024 European Championships?,"[""The first round of matches at the 2024 European Championships was an absolute delight even if it didn't change a whole lot about the competition. The betting favorites before the tournament -- England, France, Germany, Portugal, Spain -- remain the favorites, and Belgium was the only even moderate favorite to lose.""]","The teams that remained the betting favorites after the first round of matches at the 2024 European Championships are England, France, Germany, Portugal, and Spain.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Euro 2024 first-game overreactions: Can anyone stop Germany?', 'author': 'Bill Connelly', 'content_publish_date': 'Jun 18, 2024, 06:12 PM ET'}]",True
Why should the Celtics target a prospect who can provide immediate depth?,"['It would make sense for the Celtics to target a more NBA-ready prospect, ideally someone who can provide immediate depth behind their expensive starting five.']",The Celtics should target a prospect who can provide immediate depth to support their expensive starting five.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
What is the role of a go-to ballhandling scorer in complementing Markkanen?,['A go-to ballhandling scorer who can complement Markkanen'],nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How is Amazon's Just Walk Out technology being utilized in Orlando's recent stadium enhancements?,"[""There are other, more subtle upgrades being made to stadiums and fan experiences across the league. Orlando's recent stadium enhancements including upgraded wi-fi and Amazon's Just Walk Out technology for retail purchases. Gotham has overhauled its technology for gameday merchandise sales, too.""]",Amazon's Just Walk Out technology is being utilized for retail purchases in Orlando's recent stadium enhancements.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'How NWSL teams are elevating the gameday experience for fans', 'author': 'Jeff Kassouf', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
Who was the top performer in the Under Armour 8th grade All-America game in January?,"['Key stat to know: Wade was the top performer in the Under Armour 8th grade All-America game in January, throwing two touchdown passes and rushing for another score. Standing at 6-foot-3, he recorded a 4.49-second laser-timed 40-yard dash this camp season, which was faster than any other quarterback regardless of class.']",Wade was the top performer in the Under Armour 8th grade All-America game in January.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Best NFL, college, high school football players by age 14-40', 'author': 'Matt Bowen and Jordan Reid and Billy Tucker', 'content_publish_date': 'Jun 13, 2024, 06:25 AM ET'}]",True
Where did Willie Howard Mays Jr. grow up?,"[""Mays was born into that. His mother was a great athlete. His father was a great center fielder, too. His son, Willie Howard Mays Jr., was so advanced growing up in Westfield, Alabama, that he played against 18-year-olds when he was 10. Mays played for the Birmingham Black Barons of the Negro Leagues when he was 15. In 1950, at age 18, he signed with the New York Giants for $15,000 (he bought a car but couldn't drive it, so it became a car that his community drove). He spent two years in the minor leagues, then joined the Giants in May 1951 just after turning 20 years old. Durocher put him in the No. 3 spot in the order and, after a 1-for-25 start, he went on to win the Rookie of the Year Award and helped the Giants overcome a 13½-game deficit against the Dodgers to win the pennant. He was oblivious to the pressure. He was as natural a talent as anyone had ever seen.""]","Willie Howard Mays Jr. grew up in Westfield, Alabama.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Why there will never be another MLB player like Willie Mays', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 10:34 PM ET'}]",True
How did the compressed schedule from 2019-20 through 2021-22 contribute to recent parity in the NBA?,"[""The way the NBA's stoppage of play for the COVID-19 pandemic compressed the league's schedule from 2019-20 through 2021-22 is an often overlooked explanation for recent parity. Consider that from August 2020 to June 2022, the league played three full postseasons in a span of 22 months. Teams such as the Celtics that played deep into the NBA's 2020 bubble playoffs were hit hardest. It's surely no coincidence that only one of the four teams that reached the conference finals that year (the Denver Nuggets) won a playoff series in 2021, and none got back to the conference finals -- just the fourth time that had happened since the playoffs expanded to 16 teams in 1984.""]","The compressed schedule from 2019-20 through 2021-22 contributed to recent parity in the NBA by forcing teams to play three full postseasons in a span of 22 months. This intense schedule particularly affected teams that played deep into the 2020 bubble playoffs, such as the Celtics, making it difficult for them to maintain high performance levels. As a result, only one of the four teams that reached the conference finals in 2020 won a playoff series in 2021, and none returned to the conference finals.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Parity or dynasty? The Boston Celtics' chances at breaking a modern NBA trend"", 'author': 'Kevin Pelton', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
How can ego contribute to the downfall of individuals or teams?,"[""Sometimes ego is what broke them. Sometimes it was just circumstantial. An opponent they simply couldn't beat. Untimely injuries. An organization that lost faith.""]","Ego can contribute to the downfall of individuals or teams by causing internal conflicts and a lack of cohesion, which can lead to their eventual breakup or failure.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time'"", 'author': 'Ramona Shelburne', 'content_publish_date': 'Jun 18, 2024, 12:00 PM ET'}]",True
What did Los Angeles coach Curt Miller say about Brink's condition?,['Brink hobbled off the court and then was carried to the locker room by Sparks staff members. Los Angeles coach Curt Miller said Brink will be further evaluated Wednesday.'],Los Angeles coach Curt Miller said Brink will be further evaluated Wednesday.,simple,"[{'site': 'espnw', 'country': 'us', 'title': 'WNBA 2024 rookie tracker: Caitlin Clark, Angel Reese, more', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 18, 2024, 11:29 PM ET'}]",True
What did NWSL commissioner Jessica Berman cite as a determining factor in the ongoing expansion bid process?,"[""Improving stadium experiences is one of NWSL leadership's biggest priorities right now. NWSL commissioner Jessica Berman explicitly cited strong facilities as a determining factor in the ongoing expansion bid process in a recent conversation with ESPN.""]",NWSL commissioner Jessica Berman cited strong facilities as a determining factor in the ongoing expansion bid process.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'How NWSL teams are elevating the gameday experience for fans', 'author': 'Jeff Kassouf', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
How many second-round picks do the Bulls have available?,"['The Bulls owe a first-round pick to the Spurs that is top-10 protected in 2025 and top-eight protected in 2026 or 2027. They have a first-round pick from Portland that is top-14 protected over the next four years. If the first is not conveyed, the Trail Blazers will send a 2028 second. The Bulls have three second-round picks available.']",The Bulls have three second-round picks available.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
Why is Hill considered the most feared receiver in the league?,"[""Why he's the best at his age: Hill is arguably the most feared receiver in the league since Randy Moss, due to his blistering speed and explosive play ability. He tied for the NFL lead in receptions of 20-plus yards (25) and touchdown grabs (13) last season. He's a vertical threat from both boundary and slot alignments, and the pre-snap movement in Mike McDaniel's system allows him to get free releases into his routes.""]","Hill is considered the most feared receiver in the league due to his blistering speed and explosive play ability. He tied for the NFL lead in receptions of 20-plus yards (25) and touchdown grabs (13) last season. Additionally, he is a vertical threat from both boundary and slot alignments, and the pre-snap movement in Mike McDaniel's system allows him to get free releases into his routes.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Best NFL, college, high school football players by age 14-40', 'author': 'Matt Bowen and Jordan Reid and Billy Tucker', 'content_publish_date': 'Jun 13, 2024, 06:25 AM ET'}]",True
How did last year's Men's College World Series impact the first round draft picks in the MLB draft?,"[""Last year's crop of prospects playing in Omaha was historic, just like the top of the 2023 MLB draft, in part because the overlap was complete. The Men's College World Series had 10 of the first 15 college players drafted last season, all in the first round. It also featured seven more players projected to go in the first round this year.""]","Last year's Men's College World Series had a significant impact on the first round draft picks in the MLB draft, featuring 10 of the first 15 college players drafted last season, all in the first round.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""2024 Men's College World Series: Ranking MLB draft prospects"", 'author': 'Kiley McDaniel', 'content_publish_date': 'Jun 14, 2024, 07:00 AM ET'}]",True
What does ESPN's Basketball Power Index (BPI) indicate about the likelihood of the NBA Finals lasting at least six games?,"[""These NBA Finals match the clear-cut two best teams in the NBA right now, and the series should be competitive. According to ESPN's Basketball Power Index (BPI), there is a 61% chance it lasts at least six games.""]",ESPN's Basketball Power Index (BPI) indicates that there is a 61% chance the NBA Finals will last at least six games.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'author': 'NBA Insiders', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}]",True
"What can the Jazz do with Lauri Markkanen's contract using their cap space, and when can they do it?","[""What to do with up to $35 million in cap space. The Jazz can renegotiate and extend Lauri Markkanen's contract but not until Aug. 7.""]","The Jazz can renegotiate and extend Lauri Markkanen's contract using their cap space, but they cannot do it until Aug. 7.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How have NWSL teams improved the fan experience?,"[""Most NWSL teams don't have that luxury, however, so they've improved the fan experience in other ways.""]",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'How NWSL teams are elevating the gameday experience for fans', 'author': 'Jeff Kassouf', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
Which teams will Missouri compete against in 2024?,"['2024 teams: Alabama, Arkansas, Auburn, Florida, Georgia, Kentucky, LSU, Miss. State, Missouri, Oklahoma, Ole Miss, South Carolina, Tennessee, Texas, Texas A&M, Vanderbilt']",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NCAA 2024: College football realignment tracker', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 10, 2024, 08:00 AM ET'}]",True
