question,contexts,ground_truth,evolution_type,metadata,episode_done
How does Pat Riley describe the concept of winning and misery in relation to West's experiences?,"['West did not like to talk about his defeats, whether it was 1969 or 2019. It was clear they still ate at him, and his simmering temper didn\'t cool with age. Just ask the producers of ""Winning Time,"" who he threatened to sue over his portrayal in the series. The show told the foundations of his lifelong relationship with Pat Riley, who had his own way of saying what West lived so often: ""There is winning and there is misery.""']","Pat Riley describes the concept of winning and misery in relation to West's experiences by saying, 'There is winning and there is misery.'",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Jerry West's legacy: a relentless pursuit of winning over eight decades in the NBA"", 'author': 'Brian Windhorst', 'content_publish_date': 'Jun 12, 2024, 01:00 PM ET'}]",True
How do the new wave of owners view the NWSL's position in the entertainment industry?,"[""From food to technology -- and, of course, soccer -- the NWSL's new wave of owners inherently understand the league's position as an entertainment product that needs to attract more people.""]",The new wave of owners view the NWSL's position as an entertainment product that needs to attract more people.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'How NWSL teams are elevating the gameday experience for fans', 'author': 'Jeff Kassouf', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
How do Campbell's strength and versatility contribute to his performance as a defender?,"[""Why he's the best at his age: At 6-foot-8 and 282 pounds, Campbell has the strength and versatility to align in multiple fronts as an edge or interior defender. In addition to his sack totals last season, he had 28 QB pressures and 56 total tackles.""]","Campbell's strength and versatility allow him to align in multiple fronts as an edge or interior defender, contributing to his performance by enabling him to achieve significant sack totals, 28 QB pressures, and 56 total tackles last season.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Best NFL, college, high school football players by age 14-40', 'author': 'Matt Bowen and Jordan Reid and Billy Tucker', 'content_publish_date': 'Jun 13, 2024, 06:25 AM ET'}]",True
"What event is set to take place at Rickwood Field in Birmingham, Alabama, involving the Giants and the St. Louis Cardinals?","[""Mays' death comes two days before the Giants are set to play the St. Louis Cardinals at Rickwood Field in Birmingham, Alabama, in a game honoring Mays and the Negro Leagues as a whole. It was announced Monday that Mays would not be able to attend.""]","A game honoring Mays and the Negro Leagues as a whole is set to take place at Rickwood Field in Birmingham, Alabama, involving the Giants and the St. Louis Cardinals.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'author': 'ESPN News Services', 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}]",True
When did the Dallas Mavericks win their only NBA title?,"[""Will Boston capture its 18th championship and set an NBA record, or will Dallas lift the Larry O'Brien Trophy for the first time since 2011, when coach Jason Kidd, as a player, helped the Mavericks to their only title?""]",The Dallas Mavericks won their only NBA title in 2011.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'author': 'NBA Insiders', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}]",True
How did the Oilers demonstrate their ability to generate chances in every sequence during Game 5?,"[""Scoring eight goals in Game 4 reinforced that idea, with the caveat that it was just one game. Scoring a shorthanded goal, a power-play goal and one in 5-on-5 play in Game 5 proved that the Oilers could generate chances in every sequence. McDavid's goal that gave the Oilers a 3-0 lead capped a stretch that saw the Oilers score 12 of the past 13 goals in the series at that time, adding to the belief they may have finally found answers to their biggest problem.""]","The Oilers demonstrated their ability to generate chances in every sequence during Game 5 by scoring a shorthanded goal, a power-play goal, and one in 5-on-5 play.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'Panthers-Oilers Game 5 takeaways, early look at Game 6', 'author': 'Ryan Clark and Kristen Shilton', 'content_publish_date': 'Jun 18, 2024, 11:30 PM ET'}]",True
What has been the centerpiece of the Pro Bowl Games for the past two years?,"['There are front-office executives, per sources, who have concerns about what the future looks like with flag football, which has been the centerpiece of the Pro Bowl Games the past two years.']",The centerpiece of the Pro Bowl Games for the past two years has been flag football.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""What NFL players aren't supposed to do in the offseason"", 'author': 'Marc Raimondi', 'content_publish_date': 'Jun 19, 2024, 06:00 AM ET'}]",True
What was the Philadelphia 76ers' 2023-24 record and how did they perform in the playoffs?,['8. Philadelphia 76ers2023-24 record: 47-35Result: Eliminated in first round2024 draft picks: No. 16 and No. 41 (via CHI)'],"The Philadelphia 76ers' 2023-24 record was 47-35, and they were eliminated in the first round of the playoffs.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}]",True
Why is Lightning general manager Julien BriseBois hopeful about re-signing Stamkos?,"['Lightning general manager Julien BriseBois said that he\'s ""very hopeful"" the team can re-sign Stamkos, and feels he\'s part of their group.']",Lightning general manager Julien BriseBois is hopeful about re-signing Stamkos because he feels that Stamkos is part of their group.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}]",True
How has speculation around the league been influenced by Dillingham's inactivity due to his ankle injury?,"[""Dillingham has been unable to work out for teams for much of the pre-draft process because of an ankle injury; however, he completed his combine testing Friday to cement his eligibility requirements for the draft. His inactivity thus far has caused some speculation around the league that he could fall toward the back of the lottery or out of it, but he's an option for guard-needy San Antonio, particularly if the Spurs are unable to draft his college teammate Reed Sheppard at No 4.""]",Dillingham's inactivity due to his ankle injury has caused some speculation around the league that he could fall toward the back of the lottery or out of it.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA mock draft: 58 picks as trade talks heat up for 30 teams', 'author': 'Jonathan Givony and Jeremy Woo', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}]",True
Why are kangaroo gloves no longer made?,"['Baker""He was great to all us young guys, guys of all colors. Willie gave me my first McGregor glove, back when gloves were made out of kangaroos. That\'s outlawed now.""']",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'author': 'Tim Kurkjian', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}]",True
What does the statistic of minus-0.5 points per 100 possessions indicate about Victor Wembanyama's performance when he played at center?,"['What did the first year of Victor Wembanyama teach the coaching staff and front office? The Spurs were minus-0.5 points per 100 possessions with Wembanyama at center and minus-13.1 when he played power forward. San Antonio has two top-eight draft picks, potential cap flexibility, controllable contracts and future draft assets. The Spurs need stability at point guard and shooters around Wembanyama.']",The statistic of minus-0.5 points per 100 possessions indicates that the Spurs were slightly less effective when Victor Wembanyama played at center compared to when he played power forward.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How can Orlando retain Jonathan Isaac while creating up to $30 million in cap space?,"['Cap space breakdown: Orlando could create up to $30 million in room and still retain Jonathan Isaac, Moritz Wagner and Joe Ingles. The three players have either a team option or a non-guaranteed contract.']","Orlando can retain Jonathan Isaac while creating up to $30 million in cap space because he, along with Moritz Wagner and Joe Ingles, has either a team option or a non-guaranteed contract.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
What was the role of the Governor of the PIF in the recent meeting with the PGA Tour Enterprises transaction subcommittee?,"['""As we\'ve said in the past -- we can\'t negotiate in public -- but we are making progress,"" Monahan told the policy board, according to the memo. ""Two weeks ago, members of our PGA Tour Enterprises transaction subcommittee met in New York with Yasir Al-Rumayyan, the Governor of the PIF, as well as members of his team. During that meeting, we reached consensus on several items, but both parties recognize that there is still work to do to reach a final agreement.']","The Governor of the PIF, Yasir Al-Rumayyan, participated in the recent meeting with the PGA Tour Enterprises transaction subcommittee, where they reached consensus on several items but acknowledged that there is still work to do to reach a final agreement.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""PGA Tour creates sponsor exemption for Tiger Woods, cites 'exceptional lifetime achievement'"", 'author': 'Mark Schlabach', 'content_publish_date': 'Jun 18, 2024, 10:42 PM ET'}]",True
What are some concerns scouts have about Caglianone despite his physical talent?,"[""The Gators have been inconsistent this year, leading to starting the postseason as a 3-seed in the Stillwater regional, but they've gotten hot at the right time, thanks to the usual complement of pro-level talent. I did a deep dive on Caglianone and other top hitters in the draft last week. Here's a summary: He chases bad pitches at a very high rate but is so physically talented that some scouts aren't that worried about it.""]",Scouts are concerned that Caglianone chases bad pitches at a very high rate despite his physical talent.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""2024 Men's College World Series: Ranking MLB draft prospects"", 'author': 'Kiley McDaniel', 'content_publish_date': 'Jun 14, 2024, 07:00 AM ET'}]",True
Who was the fastest qualifier in the women's 100 free preliminaries?,"[""Manuel was the fastest qualifier in the women's 100 free preliminaries and took the second spot behind Torri Huske in the semifinals.""]",Manuel was the fastest qualifier in the women's 100 free preliminaries.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Regan Smith sets world record in 100m backstroke at U.S. swim trials', 'author': 'ESPN News Services', 'content_publish_date': 'Jun 18, 2024, 09:15 PM ET'}]",True
How has Tatum's playmaking ability changed during playoff runs?,"['Tatum is a very good playmaking wing, but he has never averaged more than 4.9 assists. (He has exceeded that in playoff runs -- including averaging 6.3 dimes this postseason.) Brown has never averaged more than 3.6 assists.']","Tatum's playmaking ability has improved during playoff runs, as evidenced by him exceeding his regular season assist average and averaging 6.3 assists this postseason.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Lowe: Here's the code the Boston Celtics finally cracked to raise banner No. 18"", 'author': 'Zach Lowe', 'content_publish_date': 'Jun 17, 2024, 11:45 PM ET'}]",True
Which teams will South Alabama compete against in 2024?,"['2024 teams: Appalachian State, Arkansas State, Coastal Carolina, Georgia Southern, Georgia State, James Madison, Louisiana, Louisiana Monroe, Marshall, Old Dominion, South Alabama, Southern Miss, Texas State, Troy']",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NCAA 2024: College football realignment tracker', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 10, 2024, 08:00 AM ET'}]",True
What factors are contributing to Brooklyn being over the salary cap?,"['Cap space breakdown: Brooklyn has $133 million in salary but is expected to be over the salary cap because of the Claxton free agent hold and more than $48 million in trade exceptions ($20.4 million, $11.9 million, $9.5 million and $6.8 million).']","Brooklyn is expected to be over the salary cap because of the Claxton free agent hold and more than $48 million in trade exceptions ($20.4 million, $11.9 million, $9.5 million and $6.8 million).",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
What is the projected cap space for the Celtics in the 2024-25 season?,"['Cap space breakdown: The Celtics finished the 2023-24 season in the second apron, and they are projected to remain there -- at a projected $5 million -- in 2024-25.']",The projected cap space for the Celtics in the 2024-25 season is $5 million.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How many goals have the Oilers scored as a team in the playoffs?,"[""The Oilers have scored 80 goals as a team in the playoffs. McDavid is in position to become the second player in NHL history to have a point on over 50% of his team's goals, after Gretzky in 1988.""]",The Oilers have scored 80 goals as a team in the playoffs.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""Oilers survive Panthers' comeback attempt to force Game 6"", 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 18, 2024, 11:07 PM ET'}]",True
Which player did the Los Angeles Angels select with their compensation pick?,"['Compensation picks74. Los Angeles Angels: Payton Tolle, LHP, TCU']","The Los Angeles Angels selected Payton Tolle, LHP, TCU with their compensation pick.",simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 MLB mock draft 2.0: Predicting the first two rounds', 'author': 'Kiley McDaniel', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}]",True
On what date did Woods and other members of a transaction subcommittee meet with PIF governor Yasir Al-Rumayyan and others in New York?,['Woods and other members of a transaction subcommittee met with PIF governor Yasir Al-Rumayyan and others in New York on June 7.'],Woods and other members of a transaction subcommittee met with PIF governor Yasir Al-Rumayyan and others in New York on June 7.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""PGA Tour creates sponsor exemption for Tiger Woods, cites 'exceptional lifetime achievement'"", 'author': 'Mark Schlabach', 'content_publish_date': 'Jun 18, 2024, 10:42 PM ET'}]",True
How did the Chicago Bulls rank in offensive efficiency in the 2023-24 season?,['How does the roster improve without relying on continuity? Chicago has lost in the play-in tournament in back-to-back seasons. The Bulls ranked 19th in offensive efficiency and 21st in defensive efficiency in 2023-24.'],The Chicago Bulls ranked 19th in offensive efficiency in the 2023-24 season.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
Which teams will South Carolina compete against in 2024?,"['2024 teams: Alabama, Arkansas, Auburn, Florida, Georgia, Kentucky, LSU, Miss. State, Missouri, Oklahoma, Ole Miss, South Carolina, Tennessee, Texas, Texas A&M, Vanderbilt']",nan,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NCAA 2024: College football realignment tracker', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 10, 2024, 08:00 AM ET'}]",True
What did McDavid say the Oilers needed to do after they won Game 4?,"['After the Oilers won Game 4, McDavid said the team had ""to go to Florida and do a job and drag them back to Alberta."" The Oilers used that as a rallying cry entering Wednesday\'s game and they accomplished their stated goal.']",McDavid said the team had 'to go to Florida and do a job and drag them back to Alberta.',simple,"[{'site': 'espn', 'country': 'us', 'title': ""Oilers survive Panthers' comeback attempt to force Game 6"", 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 18, 2024, 11:07 PM ET'}]",True
Why might Collier need G League time if he lands with a playoff-level team?,"['Collier does have interest from teams in the late lottery, but there are realistic scenarios in which he falls toward the back of the first round. It can be difficult for competitive teams to find minutes for a point guard whose key areas for improvement are decision-making and long-range shooting -- logically, Collier might need G League time, particularly if he lands with a playoff-level team. He is a gifted athlete and passer with good size on the ball.']",Collier might need G League time if he lands with a playoff-level team because it can be difficult for competitive teams to find minutes for a point guard whose key areas for improvement are decision-making and long-range shooting.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA mock draft: 58 picks as trade talks heat up for 30 teams', 'author': 'Jonathan Givony and Jeremy Woo', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}]",True
What was the term length of Miles Wood's contract as an unrestricted free agent last season?,"[""The top three unrestricted free agents in terms of term last season? The New York Islanders' Scott Mayfield and Pierre Engvall, both seven years; Pittsburgh Penguins defenseman Ryan Graves, six years; and Colorado Avalanche depth forward Miles Wood getting six years.""]",Miles Wood's contract as an unrestricted free agent last season was six years.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'author': 'Greg Wyshynski', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}]",True
Who is referred to as the French rookie sensation that San Antonio acquired due to their 22-win season in 2022-23?,"[""How fast do you hit the accelerator with Victor Wembanyama already playing at an elite level? No one within the organization wants to endure another 22-win season. That record in 2022-23 netted San Antonio the French rookie sensation, and because of this season's dismal performance, it has the No. 4 and No. 8 (per Toronto) picks in this year's upcoming draft. The Spurs have 13 first-round picks available to them in the next seven years and another three potential swaps on top of that, giving them the ability to make any trade they want. But doing so too early could be a mistake. Waiting one more year to see the team's growth while adding a smaller piece that fits in the roster could be the way they go. -- Lopez""]",Victor Wembanyama is referred to as the French rookie sensation that San Antonio acquired due to their 22-win season in 2022-23.,simple,"[{'site': 'espn', 'country': 'us', 'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}]",True
What is the official capacity of CPKC Stadium in Kansas City?,"[""Kansas City has sold out every game thus far at CPKC Stadium, where the official capacity is 11,500. The Current are the off-field NWSL success story of 2024 (they're also unbeaten through 13 games) and they have opened the eyes of other team's ownership groups to the tangible, layered benefits of owning a stadium.""]","The official capacity of CPKC Stadium in Kansas City is 11,500.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'How NWSL teams are elevating the gameday experience for fans', 'author': 'Jeff Kassouf', 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}]",True
How does putting oneself in an uncomfortable situation contribute to learning about yourself?,"['""I started doing it for psychological growth,"" he said. ""To purposely put myself in an uncomfortable situation where everything hurts and you have to learn about yourself.""']","Putting oneself in an uncomfortable situation contributes to learning about yourself by forcing you to deal with pain and discomfort, which can lead to psychological growth and self-discovery.",simple,"[{'site': 'espn', 'country': 'us', 'title': ""Long-awaited confetti and champagne from inside the Celtics' locker room: 'Nobody wanted to give us no time'"", 'author': 'Ramona Shelburne', 'content_publish_date': 'Jun 18, 2024, 12:00 PM ET'}]",True
What can you access by upgrading to a Disney Bundle plan that includes Disney+?,"['Get your favorite live sports, stories and originals with ESPN+, Disney+ and Hulu. Upgrade to a Disney Bundle plan and start streaming something for everyone today!']","By upgrading to a Disney Bundle plan that includes Disney+, you can access live sports, stories, and originals with ESPN+, Disney+, and Hulu.",simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'author': 'Seth Walder', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}]",True
What is significant about Cardoso and Reese achieving double-doubles in the same game?,"[""Cardoso and Reese became the first rookie teammates to get double-doubles in the same game since 2008, when the Minnesota Lynx's Candice Wiggins and Charde Houston did it. Considering how both Reese and Cardoso have played thus far, it seems likely we'll see more dual double-doubles from them this season.""]","Cardoso and Reese became the first rookie teammates to get double-doubles in the same game since 2008, when the Minnesota Lynx's Candice Wiggins and Charde Houston did it.",simple,"[{'site': 'espnw', 'country': 'us', 'title': 'WNBA 2024 rookie tracker: Caitlin Clark, Angel Reese, more', 'author': 'ESPN ESPN', 'content_publish_date': 'Jun 18, 2024, 11:29 PM ET'}]",True
What significance do the Raptors' picks at Nos. 19 and 31 have in terms of their strategy to return to the playoffs?,"[""The Raptors own two interesting picks in the middle of the draft at Nos. 19 and 31. The type of players they target might signal what their urgency level is to get back to the playoffs, after transitioning to a much younger roster built around Barnes. As constituted, they're still a long way from returning. It might make sense to focus on developmental upside with at least one of their picks, considering there are plenty of young players who need minutes already on board. -- Woo""]","The Raptors' picks at Nos. 19 and 31 might signal their urgency level to get back to the playoffs. They might focus on developmental upside with at least one of their picks, considering there are plenty of young players who need minutes already on board.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
How has Denver prioritized building depth through the draft?,"['The alignment between general manager Calvin Booth and coach Michael Malone. Because of their financial limitations, Denver has prioritized building its depth through the draft: Christian Braun, Peyton Watson, Julian Strawther, Jalen Pickett, Hunter Tyson, Vlatko Cancar, and Zeke Nnaji. Denver has a late first-round pick also.']","Denver has prioritized building its depth through the draft by selecting players such as Christian Braun, Peyton Watson, Julian Strawther, Jalen Pickett, Hunter Tyson, Vlatko Cancar, and Zeke Nnaji.",simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
What has been the success rate of the Dallas Mavericks' corner 3 attempts this postseason?,"[""On the flip side, Dallas -- powered by Doncic's incredible passing ability -- took more corner 3s than any other club during the season, with 924 attempts. The Mavs have made teams pay from the corner this postseason by hitting 40.4% of their tries from there. Doncic flung a league-leading 318 passes that led to corner 3 attempts during the regular season -- 71 more than the next closest player, according to data from Second Spectrum.""]",The success rate of the Dallas Mavericks' corner 3 attempts this postseason has been 40.4%.,simple,"[{'site': 'espn', 'country': 'us', 'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'author': 'NBA Insiders', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}]",True
How many future first-round picks does Brooklyn have available to trade?,"['What is the cost to get into the draft? Brooklyn has seven future first-round picks, 11 seconds and cash available to trade.']",Brooklyn has seven future first-round picks available to trade.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'author': 'Bobby Marks', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}]",True
Who are the teams competing in the Stanley Cup Final?,"['The Stanley Cup Final is set, with the Florida Panthers set to face the Edmonton Oilers.']",The teams competing in the Stanley Cup Final are the Florida Panthers and the Edmonton Oilers.,simple,"[{'site': 'espn', 'country': 'us', 'title': 'Stanley Cup playoffs 2024: Bracket, schedule, scores, news', 'author': 'ESPN staff', 'content_publish_date': 'Jun 15, 2024, 10:55 PM ET'}]",True
