question,ground_truth,answer,contexts
What event took place at Wrigley Field during the Giants vs. Cubs game on Tuesday night?,"During the Giants vs. Cubs game on Tuesday night, the Wrigley Field crowd of 36,292 stood in a salute to Mays during a moment of silence when his death was announced on the left-field video board in the sixth inning.",A moment of silence was held at Wrigley Field during the Giants vs. Cubs game on Tuesday night to honor the passing of legendary outfielder Willie Mays.,"[{'document': 'The Giants were playing the Cubs in Chicago on Tuesday night; the Wrigley Field crowd of 36,292 stood in a salute to Mays during a moment of silence when his death was announced on the left-field video board in the sixth inning.', 'metadata': {'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}}, {'document': 'A moment of silence for Willie Mays at Wrigley Field during the Giants-Cubs game. pic.twitter.com/df2K8BZRNA', 'metadata': {'title': 'Sports world pays tribute to Hall of Famer Willie Mays', 'content_publish_date': 'Jun 18, 2024, 10:51 PM ET'}}, {'document': 'The Giants and Chicago Cubs honored Mays with a moment of silence before their game.', 'metadata': {'title': 'Sports world pays tribute to Hall of Famer Willie Mays', 'content_publish_date': 'Jun 18, 2024, 10:51 PM ET'}}]"
Why do many teams steer away from college position players with in-zone miss concerns?,Many teams steer away from college position players with in-zone miss concerns because of the risk associated with those concerns.,"Many teams steer away from college position players with in-zone miss concerns because it limits their upside and potential. In-zone miss refers to a player's inability to make consistent contact with the ball when it is in the strike zone, resulting in more swings and misses. This is a significant concern for teams as it can hinder a player's overall hitting performance and impact their batting average. 

For example, Harrison Didawick, a left fielder with power and patience, has in-zone miss concerns that limit his potential. Scouts and teams are aware that addressing swing-and-miss issues can be challenging, especially at the professional level, so they might be hesitant to take a chance on players with these issues. 

Teams want to minimize risk and maximize the chances of drafting players who can make an immediate impact or have high development potential. Therefore, they might prefer players with more refined skills or those who demonstrate better bat control and power, even if it means looking beyond the college demographic.","[{'document': 'I continue to have trouble finding an actual landing spot for Honeycutt despite his hot finish to the season and enormous upside because so many teams steer away from in-zone miss concerns on college position players. The Phillies are not afraid to lean into risk though, taking hitters with tools but some swing-and-miss concerns or pitchers with big stuff but command questions. Prep OF P.J. Morlando, along with college infielders Amick and White also fit here. Philly could also lean into what has been working for the franchise and jump on the prep right-hander demographic before those players get snapped up in the comp round.', 'metadata': {'title': '2024 MLB mock draft 2.0: Predicting the first two rounds', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}}, {'document': ""Virginia has a deep group of top-five-rounds-caliber position players, but the rest are missing an element to get scouts as excited as they are about O'Ferrall. Harrison Didawick, Casey Saucke and Ethan Anderson are eligible for this summer's draft and probably fit in the third or fourth round. Didawick is a left fielder with power and patience but has in-zone miss that limits his upside. Saucke is a former third baseman now playing right field and has an intriguing bat control/in-game power combo, but chases more than average and needs to add more lift. Anderson is probably a catcher in pro ball but doesn't do it much in college and, like some Virginia hitters of the past, he isn't getting to his raw power in games like he could."", 'metadata': {'title': ""2024 Men's College World Series: Ranking MLB draft prospects"", 'content_publish_date': 'Jun 14, 2024, 07:00 AM ET'}}, {'document': ""I am pretty sure the Guardians have Chase Burns as the top college pitcher, Cam Caminiti as the top prep pitcher and Konnor Griffin as the top prep position player on their board. I don't think they can justify taking any of these players with the No. 1 pick when there are equivalent (and likely better) college position players available. That leaves us with four players they are most likely considering -- using their history, industry buzz and sourcing -- from the college position player demographic: Charlie Condon, Travis Bazzana, Jac Caglianone and Wetherholt."", 'metadata': {'title': '2024 MLB mock draft 2.0: Predicting the first two rounds', 'content_publish_date': 'Jun 19, 2024, 07:00 AM ET'}}]"
How much has Harden earned in his career?,Harden has earned $340 million in his career.,$340-341 million.,"[{'document': 'Harden has earned $340 million in his career, and the thinking from the Clippers cannot be that the 2018 MVP does not have options. There is no reason to believe he would not sign for the $3.1 million minimum exception if it allows him compete for a title.', 'metadata': {'title': '2024 NBA free agency: Players to sign, contract predictions', 'content_publish_date': 'Jun 17, 2024, 07:15 AM ET'}}, {'document': 'The budget to retain free agent James Harden. Are the Clippers negotiating against themselves with the next contract? Would Harden, who has earned $341 million in his career, take less with another team if he feels slighted?', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'As free agency nears, George\'s future remains the top question. George has until July 1 to agree to an extension. But Lawrence Frank, president of basketball operations, has called George and James Harden ""free agents."" The team signed Kawhi Leonard to a three-year, $150 million extension during the season, and George will likely see if he can get more. But the Clippers can\'t afford to lose George or Harden and will want to keep their star trio together to continue building around them.. -- Youngmisuk', 'metadata': {'title': ""NBA Power Rankings, way-too-early edition: Our post-Finals look at all 30 teams' 2024-25"", 'content_publish_date': 'Jun 17, 2024, 11:00 PM ET'}}]"
What did Yogi Berra say he wanted on his tombstone during the Hall of Fame gathering?,Yogi Berra said he wanted 'It's over' on his tombstone during the Hall of Fame gathering.,It's over.,"[{'document': 'Palmer""One time at the Hall of Fame, after the induction ceremony, we all went back to the hotel for hors d\'oeuvres. At our table was Yogi [Berra], Whitey [Ford], Duke [Snider], Tommy Lasorda, Willie Mays and me. Now that\'s a table. So Lasorda asks Yogi what he wants to put on his tombstone. Yogi said, \'Oh, that\'s easy: It\'s over.\' You know, it\'s never over until it\'s over. Willie cackled. Willie has a great laugh.""', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': ""Webb said the team will play Thursday's game in Mays' honor. Right fielder Mike Yastrzemski also reflected on his interactions with Mays, recalling how the Hall of Famer insisted he should be playing center field when he was first called up."", 'metadata': {'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}}, {'document': '""He was magical,"" Hall of Fame catcher Johnny Bench said. ""He was perfect.""', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}]"
What could cause Chicago to exceed the luxury tax threshold for the first time since 2015-16?,"If free agents DeRozan and Williams are signed, Chicago could exceed the luxury tax for the first time since 2015-16.","The signing of free agents DeRozan and Williams could cause Chicago to exceed the luxury tax threshold for the first time since 2015-16. If these players are added to the roster, the team's salary would surpass the $171 million luxury tax limit.","[{'document': 'Cap space breakdown: Including its first-round pick, Chicago has $135 million in salary, well below the $171 million luxury tax threshold. However, if free agents DeRozan and Williams are signed, Chicago could exceed the luxury tax for the first time since 2015-16.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'Cap space breakdown: The Mavericks are $1.8 million over the luxury tax and $3.6 million below the first apron. They will exceed the first apron if the roster stays intact and Jones is brought back.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'Cap space breakdown: The Timberwolves are projected to exceed $200 million in salary, the largest in franchise history, and are expected to pay the luxury tax for only the second time since 2007-08. The penalty is expected to exceed $75 million.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}]"
What was significant about the Giants' 1954 world championship win for Mays?,The Giants' 1954 world championship win was significant for Mays because it was his first full season after missing most of 1952 and all of 1953 due to military service.,"The 1954 World Series win was significant for Willie Mays as it was his first full season with the Giants after missing the previous two seasons due to military service. This championship win highlighted Mays' impact on the team, as they were always ahead that year. Additionally, Mays made a historic play in Game 1 of that World Series, known as one of the most famous in baseball history. His catch and quick throw prevented Cleveland from scoring, ultimately contributing to the Giants' victory in that game and, subsequently, the championship.","[{'document': ""During Game 1 of the 1954 World Series against Cleveland at the Polo Grounds, Mays made one of the most famous plays in baseball history. With the score tied at 2 and two runners on base, Cleveland's Vic Wertz hit a 2-1 pitch to deep center in the top of the eighth inning. Mays sprinted toward the wall with his back away from Wertz. He made a basket catch while on the run, pivoted and fired the ball into the infield. Mays' catch and quick relay throw prevented both runners from scoring; the Giants won the game 5-2 in 10 innings."", 'metadata': {'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}}, {'document': ""Mays' Giants were always ahead in 1954, when they won the world championship in his first full season (he missed most of 1952 and all of 1953 because of military service). In 1962, Mays hit 49 homers, including one in the eighth inning of the final day of the season to beat the Astros 2-1 and pull the Giants into a regular-season tie with the Dodgers. They played a three-game playoff; the Giants beat Sandy Koufax in the first game 8-0 behind two homers by Mays. The Giants won two out of three to advance to the first World Series in San Francisco, but they lost in seven games to the Yankees. Mays' hit in the ninth put two on with two out, but McCovey's line out to Bobby Richardson ended the Series."", 'metadata': {'title': 'Why there will never be another MLB player like Willie Mays', 'content_publish_date': 'Jun 18, 2024, 10:34 PM ET'}}, {'document': 'At age 20, Mays was the 10th Black player in major league history. After going hitless in his first three games, Mays\' first career hit with the Giants was a home run off Hall of Famer Warren Spahn in the first inning of the Giants\' 4-1 loss to the Braves on May 28, 1951. Mays was also on deck when the Giants\' Bobby Thomson hit his NL-pennant-winning home run against the Dodgers on Oct. 3, 1951, famously known as ""The Shot Heard \'Round the World.""', 'metadata': {'title': ""Legendary outfielder Willie Mays, 'Say Hey Kid,' dies at 93"", 'content_publish_date': 'Jun 18, 2024, 09:03 PM ET'}}]"
How did stolen bases distinguish Mays from other power hitters?,"Stolen bases distinguished Mays from other power hitters because of his innate feel for baserunning, which included going first to third, scoring from second on a single, and legging out triples.","Willie Mays' ability to steal bases, with a career total of 338, was a significant factor in setting him apart from other power hitters. His speed and baserunning skills allowed him to lead the league in stolen bases for four consecutive seasons while also averaging 33 home runs per season. Mays' stolen base count was even more impressive considering that he only stole when it was necessary to help his team win, as noted by Robinson. This combination of power hitting and speed on the basepaths made Mays a unique and exceptional player in MLB history.","[{'document': ""It wasn't just the stolen bases that separated Mays from other players, especially other power hitters. It was his innate feel for baserunning, going first to third, scoring from second on a single, legging out one of the 140 triples he hit, including a league-best 20 in 1957."", 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': 'But what separated Mays was his speed. He stole 338 bases; he led the league in stolen bases four seasons in a row while averaging 33 homers per season. When he stole 40 bases in 1956, it was the most by any NL player since 1929.', 'metadata': {'title': 'Why there will never be another MLB player like Willie Mays', 'content_publish_date': 'Jun 18, 2024, 10:34 PM ET'}}, {'document': '""He could have stolen a lot more bases if he had wanted,\'\' Robinson said. ""But back then, you only stole a base to help your team win a game. He could have stolen 50 every year if he\'d wanted to.\'\'', 'metadata': {'title': 'Why there will never be another MLB player like Willie Mays', 'content_publish_date': 'Jun 18, 2024, 10:34 PM ET'}}]"
Why did the Giants try to trade up to pick Drake Maye?,"The Giants tried to trade up to pick Drake Maye because they were hamstrung by their Daniel Jones contract error a year ago, when they guaranteed the quarterback $80 million with the franchise tag available.","The New York Giants attempted to trade up to pick Drake Maye, a quarterback, because they wanted to strengthen their quarterback position. This move was likely motivated by their previous contract decision regarding Daniel Jones, where they guaranteed him a significant amount of money. Despite this, they still sought to acquire another quarterback, indicating their desire to improve their options at this critical position.","[{'document': ""The Giants are hamstrung by their Daniel Jones contract error a year ago, when they guaranteed the quarterback $80 million with the franchise tag available. That didn't preclude them from going after another quarterback -- they tried to trade up to pick Drake Maye -- but once they failed to make that move, I think it was OK to pass on the second tier of rookie QBs."", 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': ""The Giants' biggest splash was their trade and ensuing contract for Burns. It was a curious choice, as the Giants spent a lot of capital to upgrade one of their only strengths -- maybe their only strength. And they did it at a time when they don't appear close to contention. As good of a player as Burns is, they traded a premium draft pick for the right to pay top money to a player."", 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'Biggest move: Drafting QB Drake MayeMove I liked: Signing QB Jacoby BrissettMove I disliked: Not signing a veteran guard', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}]"
How did Florida's goaltending and defensive commitment contribute to their performance in the postseason?,"Florida's goaltending, particularly by Bobrovsky, was exceptional throughout the postseason. This was supported by a stellar defensive commitment from the players in front of him.","Florida's success in the postseason was significantly influenced by their strong goaltending and defensive play. The team relied heavily on the exceptional performance of their goaltender, Bobrovsky, who was consistently supported by a solid defensive commitment from the players. This strategy proved effective as it allowed Florida to maintain a strong defensive structure and limit their opponents' scoring opportunities. The defensive players in front of Bobrovsky played a crucial role in blocking shots, clearing rebounds, and disrupting the opposition's offensive flow.

However, the text also mentions that this defensive commitment was once stellar but doesn't provide specific details about its impact on the current postseason performance. It suggests that while goaltending was a key factor, the defensive play might have experienced some changes or challenges during the postseason.","[{'document': 'Florida leaned into its exceptional goaltending throughout the postseason. But Bobrovsky was aided by what was once a stellar defensive commitment from the players in front of him.', 'metadata': {'title': 'Panthers-Oilers Game 5 takeaways, early look at Game 6', 'content_publish_date': 'Jun 18, 2024, 11:30 PM ET'}}, {'document': ""The Noles used to find postseason success by targeting recruits who weren't getting pro attention. Those prospects would only occasionally turn into early-round draft picks on campus, but were good college players regardless. That philosophy has changed in the past five to 10 years. Florida State is now loaded with pro prospects."", 'metadata': {'title': ""2024 Men's College World Series: Ranking MLB draft prospects"", 'content_publish_date': 'Jun 14, 2024, 07:00 AM ET'}}, {'document': ""Edmonton made it 2-0 on an Evan Bouchard power-play blast that was tipped home by Zach Hyman for his 15th goal of the postseason. Florida defenseman Niko Mikkola was whistled for interference at the end of the first period. With a fresh sheet of ice, the Oilers' power play converted at 5-on-4 for the first time in the series."", 'metadata': {'title': ""Oilers survive Panthers' comeback attempt to force Game 6"", 'content_publish_date': 'Jun 18, 2024, 11:07 PM ET'}}]"
What makes the Celtics unique in the league regarding super max deals?,The Celtics are unique in the league because they would be the only team to have two super max deals.,"The Celtics are unique in the league as they are the only team with two super max deals. This is significant because super max contracts, introduced in the 2017 CBA, allow qualifying players to earn up to 35% of the salary cap on their third contracts, which is 5% higher than the typical limit for players of their experience. The Celtics securing two such deals for their star duo sets them apart from other teams in the NBA.","[{'document': 'That would make the Celtics the only team in the league to have two super max deals, but secures its star duo for the foreseeable future.', 'metadata': {'title': 'NBA free agency 2024: Latest signings, news, buzz and reports', 'content_publish_date': 'Jun 18, 2024, 09:17 PM ET'}}, {'document': ""The 2017 CBA also introduced supermax contracts, which allowed qualifying players (based on All-NBA appearances, MVP or Defensive Player of the Year) to extend or re-sign for up to 35% of the cap on their third contracts, when typically they would have been limited to 30% by their experience. Add in the cap staying relatively static since the NBA had to play temporarily with limited or no fans during the COVID-19 pandemic and stars -- who have continued to get raises year to year -- have taken a far higher percentage of their teams' salary caps."", 'metadata': {'title': ""Parity or dynasty? The Boston Celtics' chances at breaking a modern NBA trend"", 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}}, {'document': ""The financial bill will start coming due for Boston next season, when Brown begins a supermax extension that is -- for a few more weeks -- the largest in NBA history. Tatum, eligible to sign a supermax that begins in 2025-26 on July 6, will soon surpass him. That's when the league's new second apron extensions will start hampering the Celtics."", 'metadata': {'title': ""Parity or dynasty? The Boston Celtics' chances at breaking a modern NBA trend"", 'content_publish_date': 'Jun 18, 2024, 08:00 AM ET'}}]"
What did Hall of Famer Bob Feller say about the catch made by Willie Mays?,"Hall of Famer Bob Feller said, 'That really wasn't that great of a catch. As soon as it was hit, everyone on our bench knew that he was going to catch it ... because he is Willie Mays.'",Hall of Famer Bob Feller commented on Willie Mays' catch by saying that it wasn't a great catch because everyone on the bench knew he would catch it due to his exceptional skills.,"[{'document': 'Hall of Famer Bob Feller""That really wasn\'t that great of a catch. As soon as it was hit, everyone on our bench knew that he was going to catch it ... because he is Willie Mays.""', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': 'Hall of Famer and former Mays teammate Orlando Cepeda""Ave Maria! I never saw anyone go from first to third on Willie\'s arm. Felipe Alou was a great right fielder, but Willie once told Felipe on a fly ball hit by Willie Kirkland to right center, \'Let me take it, let me take it.\' So Willie caught the ball at the 390-foot sign in right-center field, and he threw a low throw, on the line, in the air, all the way to third base. Willie had the greatest throwing arm I\'ve ever seen, even better than [Roberto] Clemente\'s arm.""', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}, {'document': '""You\'d sit on the bench and watch Willie Mays,"" Hall of Famer Reggie Jackson said. ""It was so exciting just to watch him. People did that with Jim Brown. They did that with the acrobatics and greatness of [Michael] Jordan. It\'s like players today going to watch the pregame warm-ups of Steph Curry. To watch Willie warm up, to throw the ball underhand, to make a basket catch. The beauty and the grace. For the kids today, it was like watching Simone Biles. It was like watching [Mikhail] Baryshnikov. It was poetry in motion. It was so beautiful, so pretty, to watch this athlete just run on the field, catch a ball. I loved to play against Willie Mays because it meant that I got to watch Willie Mays.""', 'metadata': {'title': 'Willie Mays at 90 -- He was Steph Curry, Michael Jordan, Simone Biles and Mikhail Baryshnikov', 'content_publish_date': 'Jun 18, 2024, 09:55 PM ET'}}]"
What is Miami expected to receive in return for losing Wilkins and Hunt in free agency?,Miami is expected to receive a third-round compensatory pick for each of them.,"Miami is expected to receive a third-round compensatory pick for both Christian Wilkins and Robert Hunt, who departed in free agency. This is according to OverTheCap, as the Dolphins chose not to match the substantial offers made by the Raiders and Panthers, respectively.","[{'document': 'Miami was set up to lose some talent this offseason and it did. Wilkins and Hunt left in free agency for monster deals with the Raiders and Panthers, respectively. While the Dolphins would have been better on the field in 2024 with those players, it made sense not to match the offers they received. Miami is expected to receive a third-round compensatory pick for each of them, per OverTheCap. Safety Brandon Jones, edge rusher Andrew Van Ginkel, linebacker Jerome Baker and defensive tackle Raekwon Davis all left, too.', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'Biggest move: Losing DT Christian Wilkins and G Robert Hunt in free agencyMove I liked: Signing CB Kendall FullerMove I disliked: Signing LB Jordyn Brooks', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'In free agency, the Panthers beefed up the interior of their offensive line, handing out a massive contract to Hunt and a large deal to fellow guard Damien Lewis. The Panthers ranked 30th and 23rd in run block win rate and pass block win rate, respectively, in 2023, so upgrading the line was paramount. However, these contracts look like overpays and Carolina is not in a particularly strong cap situation going forward.', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}]"
Which team is Sean Monahan associated with?,Sean Monahan is associated with Winnipeg.,Winnipeg,"[{'document': 'The center spot has Elias Lindholm (Vancouver), Sean Monahan (Winnipeg) and Matt Duchene (Dallas).', 'metadata': {'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}}, {'document': '""As we\'ve said in the past -- we can\'t negotiate in public -- but we are making progress,"" Monahan told the policy board, according to the memo. ""Two weeks ago, members of our PGA Tour Enterprises transaction subcommittee met in New York with Yasir Al-Rumayyan, the Governor of the PIF, as well as members of his team. During that meeting, we reached consensus on several items, but both parties recognize that there is still work to do to reach a final agreement.', 'metadata': {'title': ""PGA Tour creates sponsor exemption for Tiger Woods, cites 'exceptional lifetime achievement'"", 'content_publish_date': 'Jun 18, 2024, 10:42 PM ET'}}, {'document': ""In the memo, Monahan also gave members an update on the tour's negotiations with Saudi Arabia's Public Investment Fund, which is considering a sizable investment in PGA Tour Enterprises. The PIF has funded the rival LIV Golf League the past three years."", 'metadata': {'title': ""PGA Tour creates sponsor exemption for Tiger Woods, cites 'exceptional lifetime achievement'"", 'content_publish_date': 'Jun 18, 2024, 10:42 PM ET'}}]"
"Which team is seeking solutions in goal along with the Devils, Los Angeles Kings, Toronto Maple Leafs, and potentially the Carolina Hurricanes?","The Ottawa Senators are seeking solutions in goal along with the Devils, Los Angeles Kings, Toronto Maple Leafs, and potentially the Carolina Hurricanes.",Ottawa Senators,"[{'document': 'The teams seeking solutions in goal include the Devils, Los Angeles Kings, Toronto Maple Leafs, Ottawa Senators and potentially the Carolina Hurricanes.', 'metadata': {'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}}, {'document': 'The Oilers are just the fourth team in NHL history to trail 3-0 in the Stanley Cup Final and rally to force a Game 6. The 2012 New Jersey Devils lost in six games, the 1945 Detroit Red Wings lost in seven games and the 1942 Toronto Maple Leafs won in seven games -- the only team in NHL history to win the Cup after trailing 3-0.', 'metadata': {'title': ""Oilers survive Panthers' comeback attempt to force Game 6"", 'content_publish_date': 'Jun 18, 2024, 11:07 PM ET'}}, {'document': ""The goalie market can be best described like this: It's possible the best UFA goalie available is the same one the Maple Leafs are trying to upgrade, in Ilya Samsonov."", 'metadata': {'title': 'GMs, agents predict the NHL summer: Trades, free agency, more', 'content_publish_date': 'Jun 12, 2024, 07:00 AM ET'}}]"
"What were the reasons for loving the signing of Greenard, particularly in terms of his pass rush and run stop win rates?","The signing of Greenard was loved because he posted strong pass rush and run stop win rates last season, and he was cheaper than Danielle Hunter.","The reason for loving the signing of Jonathan Greenard was his impressive performance in the previous season, particularly in terms of his pass rush and run stop win rates. His strong performance was made even more appealing by the fact that he was a more cost-effective option compared to Danielle Hunter. Greenard's ability to disrupt the opponent's offense, as indicated by his win rates, makes him a valuable addition to the team's defensive line.","[{'document': 'The Vikings signed receiver Justin Jefferson to a massive long-term deal, as they should have. Although the $35 million APY comes with a little sticker shock, it could have been richer. After adjusting for cap inflation, the APY and guaranteed money at signing trailed recent deals for other top non-QBs such as T.J. Watt and Nick Bosa. I also loved the signing of Greenard, who posted strong pass rush and run stop win rates last season, especially considering that he was cheaper than Danielle Hunter.', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'It started with a free agency splash to add edge rusher Danielle Hunter for a close to fully guaranteed two-year, $49 million deal to rush the passer opposite Will Anderson Jr. I would have preferred to keep Jonathan Greenard for cheaper, but adding a legitimate sack artist like Hunter is not a bad thing.', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'Biggest move: Drafting QB J.J. McCarthyMove I liked: Signing edge rusher Jonathan GreenardMove I disliked: Trading up twice to draft DE Dallas Turner', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}]"
What role does Ty Schmit play in evaluating the Vikings' QB options?,,"Ty Schmit, along with Pat McAfee, evaluates the Minnesota Vikings' quarterback options, providing insights and analysis on the team's decision between veteran Sam Darnold and rookie J.J. McCarthy.","[{'document': ""Pat McAfee and Ty Schmit evaluate the Vikings' QB options between veteran Sam Darnold and rookie J.J. McCarthy."", 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'The Vikings set a new course. They opted to let quarterback Kirk Cousins walk -- a reasonable choice given his age and Achilles injury -- and thrust themselves into the open waters of the quarterback market.', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}, {'document': 'The Vikings signed receiver Justin Jefferson to a massive long-term deal, as they should have. Although the $35 million APY comes with a little sticker shock, it could have been richer. After adjusting for cap inflation, the APY and guaranteed money at signing trailed recent deals for other top non-QBs such as T.J. Watt and Nick Bosa. I also loved the signing of Greenard, who posted strong pass rush and run stop win rates last season, especially considering that he was cheaper than Danielle Hunter.', 'metadata': {'title': '2024 NFL offseason: Grading moves, changes for all 32 teams', 'content_publish_date': 'Jun 18, 2024, 07:00 AM ET'}}]"
How might Gafford and Lively impact the Mavericks' share of rebounds?,Gafford and Lively might divide the Mavericks' share of the rebounds even more.,"Gafford and Lively, the Mavericks' pair of rim-protectors, could potentially impact the team's share of rebounds by dividing the responsibility between them. Their presence and ability to protect the rim have been key factors in the Mavericks' success, particularly in the playoffs. With their rim protection, the Mavericks have forced opponents to shoot at a lower percentage close to the basket, which can lead to more rebound opportunities for Gafford and Lively.

The text suggests that Gafford and Lively might further distribute the Mavericks' rebounds, implying that they could collectively increase the team's overall rebound share. This could be a strategic move to ensure that the Mavericks maintain a strong presence on the boards and provide support to Luka Doncic, who has averaged 10 or more rebounds only twice in his playoff career.","[{'document': ""For the Mavericks, Doncic has averaged 10 or more rebounds only twice in eight career playoff series -- in the second round this season against the Thunder and in the first round of the 2022 playoffs -- while Gafford and Lively might divide the Mavericks' share of the rebounds even more."", 'metadata': {'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}}, {'document': 'The Mavs feature a pair of springy rim-protectors in Gafford and Lively and have packed the paint around them throughout the playoffs, forcing opponents to finish in traffic. As a result, Dallas held foes to 56.5% shooting within 5 feet of the rim in the playoffs through five games of the West finals.', 'metadata': {'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}}, {'document': 'Since the trade deadline, when the Mavericks traded for Gafford and Washington, Dallas has tied for the second-best record in the NBA at 22-9. While the Celtics had the best record in that span at 25-6, the Mavericks strengthened their case as title contenders by soundly defeating the Thunder and Timberwolves in the postseason.', 'metadata': {'title': '2024 NBA Finals: Big questions ahead of Mavericks-Celtics', 'content_publish_date': 'Jun 3, 2024, 05:39 PM ET'}}]"
On what date does Caleb Houstan's $2 million contract become guaranteed?,Caleb Houstan's $2 million contract becomes guaranteed on June 30.,June 30.,"[{'document': ""June 30: Caleb Houstan's $2 million contract becomes guaranteed."", 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'June 30: The $2 million contract of Hardy becomes guaranteed. There is $400,000 in protection.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}, {'document': 'July 8: The $2.1 million contract of Green becomes guaranteed.', 'metadata': {'title': 'NBA free agency 2024: Priorities, player needs for 30 teams', 'content_publish_date': 'Jun 13, 2024, 07:05 AM ET'}}]"
